,"Temperature, K",p(CH4)/p(O2),"p total, bar","Contact time, s",ei
Sc:37.6 Br:34.1 Er:17.0 As:7.7 Ge:2.8 Co:0.7 W:0.0 Os:0.0,1023.0,1.9879519939422607,1.0130000114440918,0.07918124604762482,0.5357701488292761
Cu:60.9 Ge:39.1,1202.390331906755,4.9880242347717285,1.9155140308050491,-0.3467874862246563,0.5353224039222679
C:49.8 Si:25.9 Ge:18.3 Be:3.1 Rh:3.0,1023.0,2.262750058002105,2.7103095312524266,-1.3304137733491908,0.5339384762568549
W:45.6 Ti:28.2 Ge:26.2,1098.15,1.220394573954362,1.0,-0.6020599913279624,0.5326268174435904
C:45.8 Mn:21.1 Ge:18.1 Sc:13.0 As:2.0,1023.15,2.0,1.0,-1.331427730815442,0.5270682264500446
Ca:43.3 Rh:29.1 Ti:16.5 Sc:6.7 Ge:4.4,1023.0,1.9803919792175293,1.0130000114440918,-0.3010299956639812,0.5267076639460921
Mo:37.3 Ti:22.8 Bi:19.0 Tl:9.3 Cr:7.3 Er:4.3,1023.0,2.021212100982666,1.0130000114440918,-1.080921907623926,0.5242550233096239
C:32.8 Ge:26.9 Cl:23.1 Mo:6.5 Sc:5.3 Rh:5.1 W:0.2 Os:0.0,1023.0,1.6,1.01,-3.240785568765756,0.5181005449588023
Ge:57.7 Mn:19.7 W:9.6 Sc:9.1 Co:2.1 As:1.8 Re:0.1 Os:0.0,1023.0,1.9803919792175293,1.0130000114440918,-0.3010299956639812,0.5166279210432827
V:77.2 Sr:22.8,1173.15,4.0,3.6633493591106534,-1.6197887582883939,0.5075931602398189
Ge:45.2 Sc:43.1 Pt:11.8,1073.0,2.0909090042114262,1.0130000114440918,-0.28399665636520083,0.5046709352895176
Mo:38.7 Sc:33.1 Ge:28.1,1073.0,0.5117989260405611,1.0130000114440918,-0.5376020021010439,0.5020790567789499
Ge:43.1 Ru:32.2 As:9.7 V:9.3 Re:3.0 F:2.7,1023.0,2.2308568804722864,4.606277821424253,-0.951823035315912,0.5001043349916681
C:46.8 Nb:28.2 Ge:25.0,1073.15,2.0,1.0,-3.1559291370966145,0.49632763358984366
C:37.9 Sc:32.8 Si:29.3,1073.15,2.0,1.0,-0.44369749923271273,0.4936154960778867
Nb:30.8 Te:24.7 Ge:18.7 Sc:16.7 Co:6.7 As:2.4,1023.0,1.9333330392837524,1.0130000114440918,0.6493831958623071,0.4929997829812711
Si:42.8 Ge:31.8 Os:25.5,1053.0,2.003002882003784,1.0130000114440918,0.47712125471966244,0.490464607641087
Ru:55.7 As:24.4 Ge:20.0,1088.1585824078006,2.021212100982666,1.0130000114440918,-1.080921907623926,0.4845568490942702
Ge:56.1 Sc:43.9,1173.15,4.0,1.953105808841634,-2.2267335317250403,0.4835109094947494
Ge:36.6 Au:36.6 C:10.2 Sc:7.6 Sr:6.0 Co:2.5 Os:0.4 W:0.1,1023.0,1.4358909925566639,1.0,-2.1146387799684883,0.4815214592376651
Cr:61.4 Rb:11.8 As:11.4 Ge:9.0 Cu:6.4,1023.0,2.609375,1.0130000114440918,-1.534697613152813,0.48143003614978186
Os:29.8 Ge:19.7 Zr:17.6 Er:16.1 Sc:11.4 Co:5.4,1023.0,1.9803919792175293,1.0130000114440918,-0.3010299956639812,0.4807513111912518
Mo:51.3 Ge:21.1 S:12.8 Be:7.9 B:6.8,1023.0,2.0,1.2000000476837158,-0.7958800173440752,0.4796393324537409
Ru:65.4 Br:20.6 Ge:14.0,1073.0,2.0303030014038086,1.0130000114440918,0.47712125471966244,0.47824090155996757
Ge:40.9 Sn:34.0 Si:25.1,1053.0,2.5,1.0130000114440918,0.43136376415898736,0.476837789286618
Ge:36.5 Si:35.6 Pb:28.0,1053.968701548971,2.543040150872309,1.0130000114440918,-0.3010299956639812,0.4744271088827132
Be:71.1 Ge:28.9,1095.0,4.844659805297852,5.086222733662023,-0.6575773191777937,0.4739116226680973
C:55.1 Si:24.7 Ge:20.2,1023.0,2.0,1.0130000114440918,0.6627578316815741,0.4704395691202272
Os:36.8 As:34.8 Te:10.2 Sc:9.0 Co:5.5 Ge:3.5 Re:0.1 W:0.1,1023.0,1.9803919792175293,1.0130000114440918,-0.3010299956639812,0.46625204779879725
Sc:42.2 C:40.1 Ge:17.8,1066.9558,2.0,1.0,-0.3953096513397683,0.4621004570156979
Si:36.5 Ta:33.3 Ge:12.8 K:10.8 As:3.6 Co:2.9,1063.2653247069975,0.416816399106256,1.4891954950207804,-1.4467846985978627,0.46090399562526696
C:49.0 Sc:18.7 Ge:18.5 Mg:7.3 B:6.5,1053.2681661060783,2.1,1.0,-0.8469041123116552,0.4605614870269261
Pm:76.0 Ca:24.0,1153.5279889376923,4.0,2.6448819963481576,-1.5053816285233883,0.4550950170132635
C:40.4 Ge:37.9 Os:21.6,1023.0,2.041666984558105,1.0130000114440918,0.17609125905568124,0.45457956241526754
Ge:49.9 Tl:22.4 Sc:18.2 B:5.1 Bi:4.3,1023.15,2.9130440334727763,1.0,-1.4777722083492575,0.44289973369574964
Mo:69.3 Sc:12.2 Si:9.3 B:4.4 Ge:2.6 Co:2.2,1023.0,1.9375,1.0130000114440918,0.08955188288645412,0.4417197682949152
Sc:94.1 Si:4.8 Ge:1.1,1073.0,2.0,0.6559051111481372,-0.045757490560675115,0.44074545923584973
W:38.3 Pm:32.7 As:12.6 I:6.7 Co:6.3 Ge:3.5,1023.0,2.92307710647583,1.0130000114440918,-3.288453471538673,0.43993837936546587
C:41.5 Ge:33.5 I:25.0,1078.0,2.003002882003784,1.0130000114440918,0.7781512503836436,0.4382658651393321
As:44.8 Ca:19.5 Ge:15.1 Sc:13.7 Mo:5.1 Co:1.8,1003.0,2.003002882003784,1.0130000114440918,0.12057393120584989,0.4335693850900706
Mo:34.9 Nb:34.3 Ge:30.7,1073.0,2.3220338821411133,1.0,-1.3979400086720375,0.4299680282530438
Ca:34.6 C:34.1 Sc:31.3,1074.15,2.0,1.0,-1.795013730487823,0.4287799513076529
Er:46.9 Ge:18.7 Cl:17.6 Co:9.8 Ti:3.9 Al:3.0,1013.0,1.2009802996565861,1.0,-0.5461970644860603,0.42644749902081225
Er:47.8 Ce:32.4 Ge:19.9,1033.0,2.5,1.0,-0.507362722383729,0.42277685691004296
Ge:25.3 As:23.8 Ca:21.8 Sc:19.4 Si:9.6,1023.0,1.1081006225500787,1.0,-1.3777917675881932,0.42086617354848266
C:34.5 Si:31.4 Ge:24.3 Sc:7.8 Ru:1.9,1018.5521930889403,3.0,2.2127759187728557,-1.3549925718653753,0.4164118417740639
Nb:74.1 Ba:25.9,1173.15,4.0,3.0952273415351734,-1.6197887582883939,0.41299142761705054
As:43.7 Ca:16.7 Ge:14.5 Si:11.2 Co:9.9 Se:4.0,978.0,0.7632809345417657,1.0130000114440918,-2.0,0.4126289138285373
Ge:36.9 Dy:35.7 Ni:27.4,1033.0,2.5,1.0,-3.442310065299976,0.4100901049072627
Se:42.4 Ge:33.9 As:7.3 Si:6.0 Co:5.2 Sc:5.0 W:0.1 Os:0.1,1023.0,0.8190788734030284,3.4762187188384104,-1.9273825234547635,0.4086258760722121
Sc:35.6 Ge:32.2 C:32.1,1013.15,2.0,1.0,-0.36691550922782384,0.407219364073065
As:49.0 Cd:26.4 Sc:17.9 P:4.1 Ge:2.6,1023.15,2.5,3.3986331830245873,-0.8361471680718883,0.40632045182797216
C:61.6 Si:21.8 Ge:16.6,1073.15,2.0,1.0,-0.44369749923271273,0.4012569013761027
Ir:46.4 Cs:21.0 Si:18.8 Sc:5.9 Co:5.2 B:2.3 Re:0.3 W:0.0,1023.0,0.9203977470797261,1.0130000114440918,0.13960299658973874,0.39839897165934346
Os:55.4 Ge:15.7 Sc:13.0 K:10.3 As:5.5,1069.0,1.4506127818477084,1.322538408597319,-2.0131152368242735,0.3964589201092026
Ge:51.7 C:48.3,1113.15,4.0,3.1385752121010664,-2.4225064897937827,0.3955761659705319
Si:44.4 Ge:31.0 I:24.7,1174.85408519679,1.6133860685541532,1.0,-2.0122344564170116,0.39292726214520646
Ge:54.1 Nb:45.9,1288.5171220922405,4.0,2.079137677796796,-1.5806085435784716,0.3878688674727051
Ca:67.2 Ge:15.6 Lu:10.3 Sc:3.5 As:2.4 Co:1.0 Os:0.1 W:0.1,1023.0,2.0303030014038086,1.0130000114440918,0.25527250510330607,0.38761628280348615
C:41.9 Si:34.2 Ge:24.0,1073.15,2.0,1.0,-0.44369749923271273,0.3873689964947218
Si:69.0 Mn:18.0 Cl:5.0 Na:5.0 Fe:3.0,1023.0,2.0303030014038086,1.0130000114440918,0.47712125471966244,0.38665229551873725
C:49.1 B:17.3 Ge:16.7 Si:11.2 Co:3.2 Os:2.5,1023.15,0.7703611927936663,3.5894803845441787,-0.44369749923271273,0.38508938812522997
Sb:66.5 Sc:16.0 Ge:15.3 Si:2.2,1023.0,2.0,1.0130000114440918,0.11394335230683679,0.3843525728955808
Si:41.5 Sc:31.0 C:27.4,1090.15,2.0,1.0,-0.8346567344775411,0.37791772607591256
Cr:49.0 Mo:19.2 Ta:17.0 Au:9.4 Ge:3.0 Co:2.0 Os:0.2 Ru:0.0,1023.0,1.5876872311095127,1.0,-1.9109153245039001,0.37149283533035815
As:50.5 Ru:20.4 Sc:7.9 Ge:7.6 Be:6.8 Co:6.7,1002.0,1.13263201713562,1.0130000114440918,-0.2736824563015139,0.3695796665157589
Ta:45.9 Mo:24.0 I:10.8 C:9.5 Ge:5.1 As:4.3 W:0.2 Re:0.1,1023.0,1.9879519939422607,1.0130000114440918,-0.2218487496163564,0.36957688031965397
Sc:42.3 Ge:29.6 C:28.1,1073.0,2.2537421368726127,1.0,-2.7208828990289646,0.3685787737661279
Re:55.6 Si:16.2 Ge:13.9 B:9.4 Pm:4.9,973.15,0.6744644567164322,1.7560149909329175,-1.5056784017565024,0.3679800744123478
B:53.4 Sc:46.6,1123.0,4.0,5.0,-2.3412634967850527,0.3674857403910252
Ge:44.5 Sc:18.7 As:18.6 Si:9.2 B:8.9,1058.15,2.0,0.19855874657394357,-2.0122344564170116,0.36630041271189984
Ge:40.5 Be:38.5 Sc:21.0,1053.0,2.6875,1.0130000114440918,-3.5170172810517157,0.3628519296782944
C:33.2 Cr:30.3 Sc:16.9 V:11.9 Ge:4.0 Co:3.3 Os:0.2 W:0.0,1023.0,2.0303030014038086,2.676354158580823,0.47712125471966244,0.36067663090681346
Ca:40.4 Cd:34.4 Ge:25.1,1073.0,2.3220338821411133,1.0,-1.3979400086720375,0.3554027315263637
As:62.6 Cr:11.9 Sc:11.8 Ge:6.1 Al:4.0 Co:3.6,1023.0,2.0303030014038086,1.0130000114440918,0.25527250510330607,0.3552978594881948
Re:46.0 Ca:34.8 Mo:19.1,1173.0,0.13536666666666666,2.8039410112173946,-2.513329793844239,0.35239395256686756
Re:31.7 In:24.5 Ba:23.8 Y:8.4 Mn:5.9 Mo:5.8,995.2855751476851,2.096,0.3096,-2.6965640756889133,0.35236526119128975
Sc:38.6 S:38.3 Ge:17.4 Co:2.8 As:2.0 Si:0.7 W:0.2 Os:0.0,1023.0,2.0,1.0130000114440918,0.47712125471966244,0.34846456454521024
Ge:39.1 Mg:26.4 Si:17.7 B:9.0 As:7.8,1023.15,2.9891781305035803,1.0,-2.337882686093865,0.34376511216698624
Re:54.1 F:20.5 Be:14.8 Sc:5.6 Co:4.9 Ge:0.1 W:0.0 Os:0.0,1023.0,2.477612018585205,1.0130000114440918,-0.2218487496163564,0.34181088911059065
Rh:33.1 I:30.2 Be:16.2 Ge:12.6 Sc:5.8 Co:1.7 W:0.4 Os:0.1,1022.0,1.5081321673583556,1.0130000114440918,0.3068272561366143,0.3415149776119397
As:67.2 S:19.0 Ge:13.9,1123.0,1.3333330154418943,1.0130000114440918,-0.10237290870955855,0.34005187707600393
Ca:57.9 C:42.1,1123.0,4.0,2.0,-1.5930014695792556,0.33934127892043375
C:44.0 Ge:24.0 Mo:13.1 Si:10.3 Sc:8.5,1038.15,2.4664658897479264,1.0,-0.7293857977099416,0.3379453389342222
Si:59.5 Cu:17.0 B:13.6 Cl:7.3 Ge:2.5,1073.0,2.0303030014038086,4.783867611762135,0.47712125471966244,0.3369537025470306
C:27.4 Sc:23.7 As:22.4 B:21.7 Pm:3.0 Ge:1.6 W:0.1 Os:0.1,973.15,1.6991985329873847,1.0,-2.5634996169749527,0.3362450882946002
V:37.7 Os:37.0 Y:17.2 Sc:4.0 Co:2.3 Ge:1.4 W:0.3 Re:0.1,1023.0,2.0,1.0130000114440918,-0.8239087409443188,0.3299325775174624
