,Nr of publication,Element 1,C 1,Element 2,C 2,Element 3,C 3,Element 4,C 4,Element 5,C 5,Element 6,C 6,Element 7,C 7,Element 8,C 8,Potential Yield
115,20.0,Li,12.0,Ca,88.0,,,,,,,,,,,,,12.367947013132538
116,20.0,Na,2.5999999046325684,Ca,97.4000015258789,,,,,,,,,,,,,9.445240005376517
117,20.0,Na,17.399999618530273,Ca,82.5999984741211,,,,,,,,,,,,,10.493583277766144
118,20.0,K,2.200000047683716,Ca,97.8000030517578,,,,,,,,,,,,,8.907370676493073
119,20.0,K,5.800000190734862,Ca,94.1999969482422,,,,,,,,,,,,,9.256873814194499
120,20.0,K,12.0,Ca,88.0,,,,,,,,,,,,,9.368147275095769
121,20.0,Li,2.799999952316284,S,1.399999976158142,Ca,95.8000030517578,,,,,,,,,,,10.75921900318232
122,20.0,Li,6.800000190734862,S,3.400000095367432,Ca,89.80000305175781,,,,,,,,,,,12.820509897936056
123,20.0,Li,13.0,S,6.5,Ca,80.5,,,,,,,,,,,14.019822216024727
124,20.0,Na,2.799999952316284,S,1.399999976158142,Ca,95.8000030517578,,,,,,,,,,,9.515394218505842
125,20.0,Na,7.0,S,3.5,Ca,89.5,,,,,,,,,,,10.000248032748594
126,20.0,Na,10.399999618530273,S,5.199999809265137,Ca,84.4000015258789,,,,,,,,,,,10.01337156463925
127,20.0,S,1.2000000476837158,K,2.400000095367432,Ca,96.4000015258789,,,,,,,,,,,9.076712512567354
128,20.0,S,3.400000095367432,K,6.800000190734862,Ca,89.80000305175781,,,,,,,,,,,9.316537148992719
129,20.0,S,5.199999809265137,K,10.399999618530273,Ca,84.4000015258789,,,,,,,,,,,9.282375293416685
130,20.0,Ca,100.0,,,,,,,,,,,,,,,8.584866866313897
131,20.0,Mg,92.5,Pb,7.5,,,,,,,,,,,,,10.057984616742605
132,20.0,S,49.29999923706055,Ca,49.29999923706055,Pb,1.399999976158142,,,,,,,,,,,9.68751979188521
133,20.0,Si,33.299999237060554,Ca,66.59999847412111,Pb,0.10000000149011612,,,,,,,,,,,9.134505209682247
134,20.0,C,32.700000762939446,K,65.40000152587889,Pb,1.8999999761581419,,,,,,,,,,,9.087600826916832
135,20.0,Li,4.5,Ca,95.5,,,,,,,,,,,,,10.954665637793385
136,20.0,Na,1.2999999523162842,Ca,98.6999969482422,,,,,,,,,,,,,9.093627831876121
137,20.0,K,1.2000000476837158,Ca,98.8000030517578,,,,,,,,,,,,,8.767754893139099
