,Prom,Prep,"Temperature, K",p(CH4)/p(O2),"p total, bar","Contact time, s",ei,make_nei,cluster,pred_y,mean,sigma,CI_low,CI_high
Mg:48.9 Yb:18.9 Fe:17.3 Li:9.2 Sm:2.9 Cd:2.0 Te:0.8,,Slurry,973.15,1.5533908670035912,1.0,1.5,0.2686218705900798,False,54,14.817072043766762,14.817072043766764,11.520210717207389,-7.7625409619597185,37.39668504949324
Mg:33.4 Ho:15.2 W:14.1 Eu:12.9 Li:12.7 Na:8.5 Cl:1.9 Te:1.3,,Ceramic method,1023.0,0.6791889619290457,1.0130000114440918,0.24,0.2678939548674121,False,89,18.227933171454442,18.22793317145444,9.917695303453108,-1.210749623313653,37.66661596622253
Lu:29.4 Ti:20.8 Ni:11.1 Sn:9.3 Sr:8.2 Ba:7.8 Ge:7.8 Yb:5.5,,SGS,1048.0,2.0303030014038086,1.0130000114440918,0.3,0.26645008607549403,False,48,19.52853157545986,19.52853157545986,9.243716262197118,1.4108477015535072,37.64621544936621
Si:68.9 Na:12.2 Cl:9.3 S:3.1 P:2.5 Zr:2.0 Mn:1.3 W:0.6,,Ceramic method,1023.0,1.0809772425032846,1.0,0.2264,0.2614397114494709,False,5,20.070615857765716,20.070615857765723,8.81094674182999,2.8011602437789414,37.34007147175251
Cl:38.8 Ba:19.4 Sn:19.4 Ti:19.4 Ga:1.5 Pr:1.4,,Ceramic method,1033.15,2.0,1.0,0.5454545454545454,0.2600305845020303,False,68,18.819373290725206,18.819373290725206,9.489652576342966,0.21965424109299292,37.41909234035742
Ti:31.8 La:21.2 K:21.2 Al:7.7 Fe:6.7 Yb:5.6 Pb:5.4 Pd:0.3,,Ceramic method,1073.0,2.0067110061645512,1.0130000114440918,1.2,0.25789546163897714,False,72,16.609129116211196,16.609129116211196,10.03788894849805,-3.065133222844981,36.28339145526738
Ti:31.7 La:21.2 Rb:21.2 Fe:8.1 Te:6.4 Al:6.1 Ta:5.5,,Ceramic method,1023.0,1.9333330392837524,1.0130000114440918,0.8,0.24096715062335886,False,70,16.275025526426912,16.275025526426912,10.745458887232674,-4.78607389254913,37.33612494540296
Y:24.0 Ti:24.0 Yb:18.3 Zr:15.8 Sm:10.0 Pr:8.0,,Sol-gel,973.0,1.95488703250885,1.0130000114440918,0.8,0.2392574974948276,False,12,13.83032639519436,13.830326395194362,11.819411067712911,-9.335719297522942,36.996372087911666
Y:70.6 Cl:18.0 Te:7.6 Ce:2.2 Ag:1.0 Rh:0.4 Pd:0.3,,Ceramic method,1023.15,2.0,1.0,0.026265849798737927,0.2381801251728768,False,44,18.709375678434622,18.709375678434622,9.436440250850222,0.21395278676818918,37.204798570101055
Al:50.0 Nd:30.2 Yb:10.9 Cl:4.6 Sr:2.3 Na:1.4 Cu:0.6,,Pyrolysis,923.0,2.174999952316284,1.0130000114440918,2.47,0.2360696361377185,False,91,14.928355233843238,14.92835523384324,11.769952274661676,-8.140751224493647,37.997461692180124
Ni:44.2 Li:43.4 Fe:12.4,,Ceramic method,1023.0,1.9803919792175293,1.0130000114440918,0.601,0.2357161289117775,False,97,19.393724897561953,19.393724897561953,9.379473032811863,1.0099577532507027,37.7774920418732
La:50.5 Cs:26.9 Cu:12.4 Li:10.1,,Ceramic method,1053.0,0.3803037782475549,1.0130000114440918,0.24,0.2350462578325557,False,83,18.76951745031913,18.76951745031913,9.541953328993957,0.06728892549097765,37.471745975147286
Yb:28.4 Mn:22.8 La:18.2 Nb:14.7 Mo:5.0 Na:4.6 Cs:3.5 Sr:2.8,,n.a.,1013.0,2.5,1.0,0.30816640986132515,0.2290962063320645,False,87,15.605840498964199,15.605840498964195,10.58942263693634,-5.14942786943103,36.36110886735942
Si:65.8 Na:19.7 Mn:10.6 Ni:2.1 Rh:1.8,Promotor_Cl,n.a.,1023.0,2.003002882003784,1.0130000114440918,3.3,0.22395344646509685,False,99,21.641623523356966,21.641623523356966,8.183063800143088,5.602818475076514,37.68042857163742
Y:43.0 Gd:30.2 Yb:10.4 La:4.2 Cd:3.7 Cl:2.9 Ge:2.9 Nb:2.7,,Pechini method,884.5959525700405,1.92126214700506,1.0,0.026613439787092484,0.21813524422367192,False,85,14.583558080907123,14.583558080907123,11.560252861868932,-8.074537528355984,37.24165369017023
Ti:94.9 Li:5.1,,Therm.decomp.,1258.1217307023064,1.0,1.0130000114440918,4.0,0.2124705000588315,False,81,20.643518122038532,20.643518122038532,8.489101760870247,4.00487867073285,37.282157573344215
Y:87.3 Yb:10.0 Ce:2.7,,Citrate method,1073.15,2.0,1.0,0.026265849798737927,0.21024355044110346,False,22,18.901721681467095,18.901721681467098,9.293265721550904,0.6869208672273253,37.116522495706874
Si:34.9 Yb:29.7 Sn:12.6 La:8.2 Tb:6.5 Cl:4.8 Mn:1.7 Na:1.6,,Physical mixing,1073.15,2.109993653152653,1.0,0.26786,0.2094765066855565,False,73,20.070253191258196,20.070253191258196,9.18338955268881,2.0708096679881294,38.06969671452826
Yb:31.0 Y:23.8 S:21.5 F:15.8 Ba:7.9,,Slurry,1023.0,2.477612018585205,1.0130000114440918,0.6,0.20583004006647032,False,18,18.3930733213569,18.3930733213569,9.712550953843046,-0.6435265481754691,37.429673190889275
Eu:21.9 Li:20.4 Cl:15.3 Na:15.3 Zr:10.7 Nd:9.4 Mo:7.0,,n.a.,1003.0,0.8833919763565063,1.0130000114440918,2.4,0.1960719339625324,False,75,16.604930140585456,16.60493014058546,10.43766306762542,-3.8528894719603635,37.062749753131286
Si:89.2 K:3.7 Mn:2.1 Na:2.0 Tl:1.8 W:1.0 Ni:0.2 Ir:0.0,,Ceramic method,1048.15,0.7452517671085084,1.0,0.36,0.1801004286678075,False,67,18.576602483914176,18.57660248391418,9.293666805703234,0.3610155447358423,36.792189423092516
Cr:25.9 La:20.7 F:14.7 Er:13.4 Te:12.9 Sr:5.2 Mn:4.2 Yb:3.0,,Ceramic method,1033.0,2.5,1.0,0.2843170703969067,0.17300212062031228,False,32,17.265766282269986,17.265766282269983,9.506311619230091,-1.366604491420997,35.89813705596096
Cl:20.7 Al:18.8 Mn:13.5 Ba:10.3 Sn:10.3 Ti:10.3 Fe:9.1 K:6.8,,Ceramic method,1073.15,2.0,1.0,0.36,0.1722780226016234,False,93,18.53338168313181,18.53338168313181,9.001878836956555,0.8896991626969637,36.17706420356666
Si:39.0 C:39.0 Pb:12.5 Li:8.2 Ta:1.4,,Ceramic method,1023.0,2.0303030014038086,1.0130000114440918,3.0,0.1632797325186769,False,55,13.968988250808584,13.968988250808584,10.857515909474387,-7.311742931761215,35.24971943337838
Nb:23.9 Cl:15.7 Al:14.3 P:11.8 W:10.8 Ba:7.8 Sn:7.8 Ti:7.8,,Ceramic method,1073.15,2.0,1.0,0.5454545454545454,0.15102233804756282,False,10,19.732937308798633,19.732937308798633,8.092017884249016,3.8725822556705616,35.5932923619267
